num_attention_heads,hidden_size,lstm_layers,hidden_continuous_size,dropout,batch_size,n_epochs,lr,weight_decay,value,mql_0_50,rmse,mae,smape,mic_10_90,input_chunk_length,output_chunk_length
4,64,3,24,0.05,128,30,0.000571738,2.17E-05,57.65802031,57.65802031,65.17477568,57.65802031,59.24788187,0.821845574,24,6
8,128,2,24,0.05,64,40,0.000542675,0.00046087,60.25187767,60.25187767,68.1579319,60.25187767,65.82748228,0.637099812,24,6
8,96,2,24,0.05,128,40,0.000622642,2.44E-05,63.51974719,63.51974719,71.6573258,63.51974719,58.03287569,0.607532957,24,6
4,96,3,24,0.1,128,40,0.000719198,1.48E-06,64.18098226,64.18098226,72.31802541,64.18098226,59.63115357,0.566478343,24,6
8,64,2,32,0.15,64,40,0.0014453,1.53E-06,66.21141791,66.21141791,74.39791229,66.21141791,67.52747735,0.649905838,24,6
4,96,3,24,0.15,64,30,0.000542205,2.00E-05,66.84529067,66.84529067,74.81417649,66.84529067,61.90929026,0.781544256,24,6
8,64,2,32,0.1,64,40,0.001247803,3.74E-06,68.21720259,68.21720259,76.1285988,68.21720259,72.1523559,0.580602637,24,6
8,96,3,24,0.15,128,40,0.000964364,0.000307688,73.33072742,73.33072742,82.12233289,73.33072742,61.54051688,0.68606403,24,6
4,64,2,24,0.25,64,30,0.002155372,0.000672093,75.78398691,75.78398691,85.21880856,75.78398691,65.74957956,0.769868173,24,6
8,96,3,16,0.1,128,40,0.00245107,7.74E-05,76.62340203,76.62340203,85.15577271,76.62340203,63.90604821,0.769868173,24,6
8,64,1,24,0.2,128,50,0.000731479,5.34E-06,83.60491979,83.60491979,92.09235773,83.60491979,64.08343352,0.750094162,24,6
4,128,3,32,0.15,128,30,0.002550109,1.08E-05,107.6930859,107.6930859,120.320915,107.6930859,71.79273324,0.732768362,24,6
